datetime_utc,dem,dpw,mjf,pema,pha,rsd
2025-11-05 03:00:00,11.4,25.9,10.0,24.8,23.9,4.028144557993759
2025-11-05 05:00:00,16.8,24.4,14.1,23.3,24.5,2.7666183317781377
2025-11-07 01:00:00,8.4,21.4,9.8,21.4,22.5,2.917696613056305
2025-11-07 07:00:00,,22.0,9.5,20.2,22.6,5.782405554072594
2025-11-07 10:00:00,19.8,21.0,16.6,20.5,22.1,3.861015458430405
2025-11-09 02:00:00,12.0,26.8,9.5,26.5,28.4,3.750686278101481
2025-11-09 03:00:00,20.1,25.9,16.5,25.6,26.9,2.6046655429415946
2025-11-09 08:00:00,19.0,22.8,13.6,20.6,22.1,5.148004671782401
2025-11-14 04:00:00,7.4,17.9,6.3,16.5,17.2,4.069767441860461
2025-11-19 13:00:00,25.4,23.1,15.7,21.7,22.0,3.3103808963317385
2025-11-21 00:00:00,27.2,27.5,18.6,27.1,30.0,5.57313249840486
2025-11-21 14:00:00,32.7,23.3,15.5,21.3,23.0,4.786594582060188
2025-11-22 01:00:00,28.9,25.6,16.7,24.2,25.2,2.884441020371195
2025-11-22 07:00:00,22.2,20.7,10.4,18.9,21.1,5.791893189867205
2025-11-22 09:00:00,19.3,19.8,8.7,18.5,18.3,4.316887534583258
2025-11-22 10:00:00,17.7,19.1,6.5,18.2,17.9,3.3940206513034856
2025-11-22 11:00:00,16.9,19.4,5.5,18.6,18.3,3.029968403060736
2025-11-22 13:00:00,18.7,19.3,6.2,18.1,18.5,3.279123931989866
2025-11-23 01:00:00,9.4,19.2,6.6,18.6,19.5,2.3992542905527916
2025-11-23 03:00:00,9.2,22.0,7.3,22.3,24.4,5.710347960970311
2025-11-23 22:00:00,18.3,27.1,14.1,27.6,27.6,1.0522787409288439
2025-11-24 00:00:00,18.7,26.7,14.3,27.1,28.7,3.848365543366676
2025-11-24 05:00:00,,19.3,9.6,18.3,18.2,3.2703024356442074
2025-11-24 06:00:00,,19.4,10.0,18.2,19.8,4.3519149814623015
2025-11-25 15:00:00,11.2,12.2,1.2,12.8,11.4,5.788820743325682
2025-11-26 01:00:00,6.4,19.4,1.7,18.8,19.8,2.60339118457612
2025-11-26 03:00:00,7.1,19.8,1.4,18.7,19.2,2.863554877271807
2025-11-26 23:00:00,7.0,17.5,1.4,18.9,19.3,5.090645198835844
2025-11-27 00:00:00,6.5,17.7,1.2,19.4,19.5,5.36183424222386
2025-11-27 22:00:00,5.3,22.0,8.8,23.1,24.4,5.185847853507939
2025-11-27 23:00:00,6.2,22.4,8.6,21.0,23.4,5.41411416767219
2025-11-29 11:00:00,3.3,20.3,6.2,18.4,20.1,5.326686994342124
2025-11-30 03:00:00,32.4,30.5,23.3,28.1,30.6,4.760285593175367
2025-11-30 04:00:00,31.9,28.7,22.2,26.1,27.9,4.830709638558201
2025-11-30 05:00:00,30.0,26.3,20.2,26.4,25.4,2.115584077062525
2025-11-30 14:00:00,7.1,22.4,5.1,23.6,22.4,3.0386856273138267
2025-11-30 15:00:00,8.5,24.3,5.3,23.9,26.0,4.50828266406408
2025-12-02 06:00:00,31.7,25.4,20.7,25.0,23.5,4.066300189801544
2025-12-02 08:00:00,23.3,25.4,17.3,23.5,25.2,4.2268447404496134
2025-12-02 09:00:00,13.9,24.9,11.5,24.5,26.2,3.527061276712535
2025-12-02 23:00:00,,16.7,6.5,16.7,16.5,0.6942087405085656
2025-12-04 04:00:00,28.5,25.3,17.9,23.4,24.4,3.9005683801322215
2025-12-04 05:00:00,25.0,22.9,16.7,23.3,24.4,3.3006176197538357
2025-12-04 08:00:00,19.2,22.1,15.0,20.0,21.8,5.332308305915753
2025-12-05 03:00:00,1.3,20.1,7.4,18.6,20.6,5.265596963236423
2025-12-05 04:00:00,2.1,20.2,9.6,18.6,20.0,4.447856064837417
2025-12-05 05:00:00,,19.9,11.4,18.9,19.9,2.9506828067612902
2025-12-05 06:00:00,,19.9,14.7,18.3,19.9,4.769847318606196
2025-12-05 07:00:00,,19.4,17.0,18.0,19.9,5.1564700532963865
2025-12-05 08:00:00,2.4,19.5,17.2,18.1,19.8,4.742389403768707
2025-12-05 10:00:00,5.7,20.2,16.6,19.6,20.4,2.074750165580856
2025-12-05 11:00:00,5.8,21.1,17.3,19.1,20.6,5.135689143419735
2025-12-06 00:00:00,20.3,23.2,16.2,22.5,24.6,4.563019895404111
2025-12-06 01:00:00,14.0,22.9,15.8,24.7,24.3,3.9436569899187304
2025-12-06 06:00:00,19.5,21.5,17.1,20.8,22.2,3.255813953488369
2025-12-06 07:00:00,21.0,20.5,16.9,22.1,22.7,5.224723463777023
2025-12-06 08:00:00,20.8,22.8,17.4,21.2,23.0,4.417507040880224
2025-12-06 09:00:00,22.5,22.1,17.6,21.8,24.1,5.516176274562075
2025-12-06 14:00:00,26.4,27.8,19.0,25.6,28.3,5.274531560933962
2025-12-06 15:00:00,27.3,26.2,19.8,26.0,27.0,2.004357053836811
2025-12-06 21:00:00,10.7,20.2,7.4,20.9,21.5,3.118086469000503
2025-12-06 23:00:00,24.7,26.3,17.9,25.8,26.7,1.7167194490442466
2025-12-07 00:00:00,22.7,22.9,16.9,22.8,24.2,3.3520384875135845
2025-12-07 01:00:00,25.8,23.9,16.2,23.1,21.5,5.351913220386381
